timestamp,datetime,timestamp_desc,message,report,attribution,source,md5,ip,domain
1611143974000,2021-01-20T12:59:34+00:00,VT_Domain_to_ip,Domain boldconclusion.com was resolving to 52.58.78.16,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boldconclusion.com/details,,52.58.78.16,boldconclusion.com
1617558884000,2021-04-04T19:54:44+00:00,VT_Domain_to_ip,Domain boldconclusion.com was resolving to 64.190.62.111,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boldconclusion.com/details,,64.190.62.111,boldconclusion.com
1605791759000,2020-11-19T14:15:59+00:00,VT_Domain_to_ip,Domain boldconclusion.com was resolving to 72.52.179.174,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boldconclusion.com/details,,72.52.179.174,boldconclusion.com
1575159454000,2019-12-01T01:17:34+00:00,VT_Domain_to_ip,Domain boldconclusion.com was resolving to 74.117.219.198,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boldconclusion.com/details,,74.117.219.198,boldconclusion.com
1575090779000,2019-11-30T06:12:59+00:00,VT_Domain_to_ip,Domain boldconclusion.com was resolving to 74.117.219.199,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boldconclusion.com/details,,74.117.219.199,boldconclusion.com
1572250635000,2019-10-28T09:17:15+00:00,VT_Domain_to_ip,Domain boldconclusion.com was resolving to 74.117.221.11,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boldconclusion.com/details,,74.117.221.11,boldconclusion.com
1549454630000,2019-02-06T13:03:50+00:00,VT_Domain_to_ip,Domain boldconclusion.com was resolving to 74.117.221.21,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boldconclusion.com/details,,74.117.221.21,boldconclusion.com
1572250635000,2019-10-28T09:17:15+00:00,VT_Domain_to_ip,Domain boldconclusion.com was resolving to 74.117.221.22,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boldconclusion.com/details,,74.117.221.22,boldconclusion.com
1620216798000,2021-05-05T14:13:18+00:00,VT_Domain_to_ip,Domain boldconclusion.com was resolving to 75.2.26.18,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boldconclusion.com/details,,75.2.26.18,boldconclusion.com
1620216164000,2021-05-05T14:02:44+00:00,VT_Domain_to_ip,Domain boldconclusion.com was resolving to 99.83.153.108,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/boldconclusion.com/details,,99.83.153.108,boldconclusion.com
1542370318000,2018-11-16T13:11:58+00:00,VT_Domain_to_ip,Domain booking-tables.com was resolving to 109.200.24.59,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/booking-tables.com/details,,109.200.24.59,booking-tables.com
1555085940000,2019-04-12T18:19:00+00:00,VT_Domain_to_ip,Domain booking-tables.com was resolving to 199.59.242.151,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/booking-tables.com/details,,199.59.242.151,booking-tables.com
1449356400000,2015-12-06T00:00:00+00:00,VT_Domain_to_ip,Domain booking-tables.com was resolving to 62.149.128.166,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/booking-tables.com/details,,62.149.128.166,booking-tables.com
1476223200000,2016-10-12T00:00:00+00:00,VT_Domain_to_ip,Domain booking-tables.com was resolving to 69.172.201.217,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/booking-tables.com/details,,69.172.201.217,booking-tables.com
1567663552000,2019-09-05T08:05:52+00:00,VT_Domain_to_ip,Domain bottlehere.com was resolving to 217.70.184.38,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,NSO,https://www.virustotal.com/gui/domain/bottlehere.com/details,,217.70.184.38,bottlehere.com
